id,attraction_id,description,website
816,101,3,4
816,102,4,4
816,105,3,3
816,107,3,3
816,108,4,4
816,110,4,4
816,111,3,3
816,112,3,3
816,113,3,3
816,114,3,3
816,115,4,4
816,116,4,4
816,120,2,2
816,121,3,3
816,122,3,3
816,124,2,2
816,125,4,4
816,126,2,3
816,127,2,2
816,128,3,3
816,131,3,3
816,132,2,3
816,133,3,3
816,135,2,3
816,137,3,3
816,138,2,2
816,140,2,2
816,141,3,3
816,142,0,0
816,143,3,4
816,144,0,0
816,145,4,4
816,146,0,0
816,147,4,4
816,149,2,3
816,150,0,0
816,152,3,3
816,153,3,3
816,154,3,3
816,156,3,3
816,160,0,0
816,161,2,2
816,163,3,4
816,164,2,3
816,167,3,2
816,168,1,2
816,169,3,3
816,170,0,0
816,171,3,3
816,172,3,3
816,173,2,2
816,174,3,3
816,178,3,3
816,180,3,3
816,181,2,1
816,182,1,2
816,183,3,4
816,184,3,3
816,185,1,1
816,187,3,3
816,188,3,3
816,189,2,3
816,190,3,3
816,193,3,3
816,194,1,1
816,195,1,2
816,196,3,3
816,198,2,3
816,199,3,4
816,200,0,0
817,101,4,4
817,102,3,3
817,105,4,4
817,107,3,3
817,108,4,4
817,110,4,4
817,111,3,4
817,112,3,3
817,113,1,1
817,114,4,4
817,115,3,3
817,116,3,4
817,120,1,1
817,121,1,2
817,122,2,3
817,124,1,2
817,125,4,4
817,126,4,4
817,127,1,2
817,128,4,4
817,131,4,4
817,132,2,1
817,133,4,4
817,135,4,4
817,137,4,4
817,138,2,4
817,140,2,2
817,141,4,4
817,142,0,1
817,143,3,3
817,144,4,4
817,145,3,3
817,146,3,3
817,147,4,4
817,149,2,1
817,150,3,4
817,152,3,3
817,153,2,3
817,154,3,3
817,156,4,4
817,160,3,4
817,161,3,3
817,163,4,4
817,164,2,3
817,167,3,4
817,168,2,1
817,169,3,3
817,170,1,2
817,171,3,4
817,172,3,3
817,173,3,3
817,174,3,3
817,178,4,4
817,180,4,4
817,181,2,1
817,182,3,3
817,183,3,4
817,184,3,3
817,185,3,3
817,187,3,3
817,188,1,3
817,189,2,3
817,190,3,4
817,193,3,3
817,194,1,2
817,195,3,3
817,196,3,3
817,198,3,3
817,199,3,3
817,200,4,4
818,101,2,3
818,102,3,2
818,105,3,4
818,107,3,4
818,108,0,2
818,110,1,3
818,111,2,3
818,112,3,1
818,113,3,2
818,114,3,2
818,115,3,3
818,116,3,2
818,120,1,3
818,121,2,3
818,122,2,3
818,124,2,3
818,125,3,4
818,126,3,2
818,127,2,3
818,128,2,3
818,131,4,3
818,132,3,4
818,133,2,3
818,135,2,3
818,137,2,3
818,138,1,3
818,140,4,4
818,141,3,1
818,142,3,4
818,143,2,4
818,144,3,2
818,145,3,2
818,146,2,3
818,147,2,3
818,149,2,4
818,150,3,2
818,152,3,0
818,153,2,3
818,154,1,3
818,156,2,3
818,160,3,2
818,161,1,1
818,163,2,3
818,164,1,2
818,167,1,2
818,168,3,2
818,169,3,2
818,170,2,2
818,171,2,3
818,172,1,1
818,173,2,3
818,174,4,2
818,178,1,3
818,180,2,1
818,181,2,1
818,182,2,3
818,183,2,3
818,184,2,2
818,185,1,3
818,187,2,3
818,188,2,3
818,189,1,2
818,190,3,4
818,193,2,3
818,194,2,3
818,195,4,1
818,196,1,3
818,198,2,3
818,199,2,3
818,200,2,2
819,101,3,4
819,102,3,3
819,105,4,4
819,107,3,3
819,108,3,3
819,110,3,4
819,111,3,3
819,112,2,3
819,113,3,3
819,114,2,1
819,115,2,2
819,116,1,3
819,120,1,3
819,121,3,2
819,122,1,1
819,124,1,1
819,125,3,4
819,126,2,2
819,127,1,1
819,128,3,4
819,131,4,4
819,132,1,1
819,133,3,3
819,135,2,2
819,137,3,3
819,138,1,2
819,140,3,3
819,141,3,3
819,142,4,4
819,143,2,3
819,144,3,4
819,145,2,2
819,146,4,4
819,147,1,2
819,149,1,1
819,150,1,2
819,152,3,4
819,153,2,2
819,154,3,2
819,156,1,2
819,160,3,4
819,161,3,4
819,163,3,3
819,164,3,4
819,167,4,4
819,168,1,2
819,169,2,2
819,170,1,1
819,171,2,2
819,172,3,3
819,173,0,0
819,174,2,1
819,178,2,1
819,180,3,1
819,181,1,3
819,182,2,2
819,183,3,2
819,184,3,3
819,185,1,1
819,187,3,4
819,188,3,3
819,189,-1,-1
819,190,1,2
819,193,2,2
819,194,1,3
819,195,1,1
819,196,1,1
819,198,2,2
819,199,2,3
819,200,1,0
820,101,2,4
820,102,3,3
820,105,3,4
820,107,4,4
820,108,3,4
820,110,4,4
820,111,3,3
820,112,4,4
820,113,3,4
820,114,3,3
820,115,2,3
820,116,2,3
820,120,3,3
820,121,3,3
820,122,3,3
820,124,2,4
820,125,3,3
820,126,3,3
820,127,1,1
820,128,3,4
820,131,4,3
820,132,2,3
820,133,4,4
820,135,0,2
820,137,2,3
820,138,3,3
820,140,3,4
820,141,2,4
820,142,1,4
820,143,3,4
820,144,3,3
820,145,1,3
820,146,4,4
820,147,2,4
820,149,3,2
820,150,2,3
820,152,3,3
820,153,3,3
